           0 ps       U       UUUU       U       UU
           0 ps       U       UUUU       0       00
        5000 ps       1       0000       0       00
       10000 ps       1       0000       1       00
       20000 ps       1       0000       0       00
       25000 ps       0       0000       0       00
       30000 ps       0       0000       1       00
       40000 ps       0       0000       0       00
       45000 ps       0       0011       0       00
       50000 ps       0       0011       1       00
       50000 ps       0       0011       1       01
       60000 ps       0       0011       0       01
       70000 ps       0       0011       1       01
       80000 ps       0       0011       0       01
       85000 ps       1       0011       0       01
       85000 ps       1       0011       0       00
       90000 ps       1       0011       1       00
      100000 ps       1       0011       0       00
      105000 ps       0       1001       0       00
      110000 ps       0       1001       1       00
      110000 ps       0       1001       1       11
      120000 ps       0       1001       0       11
      125000 ps       0       0000       0       11
      130000 ps       0       0000       1       11
      140000 ps       0       0000       0       11
      145000 ps       0       1101       0       11
      150000 ps       0       1101       1       11
      150000 ps       0       1101       1       00
      160000 ps       0       1101       0       00
      165000 ps       0       0001       0       00
      170000 ps       0       0001       1       00
      180000 ps       0       0001       0       00
      185000 ps       0       0000       0       00
      190000 ps       0       0000       1       00
      190000 ps       0       0000       1       10
      200000 ps       0       0000       0       10
      210000 ps       0       0000       1       10
      220000 ps       0       0000       0       10
      225000 ps       0       1100       0       10
      230000 ps       0       1100       1       10
      230000 ps       0       1100       1       01
      240000 ps       0       1100       0       01
      245000 ps       1       1100       0       01
      245000 ps       1       1100       0       00
      250000 ps       1       1100       1       00
      260000 ps       1       1100       0       00
      265000 ps       0       1001       0       00
      270000 ps       0       1001       1       00
      270000 ps       0       1001       1       11
      280000 ps       0       1001       0       11
      285000 ps       0       1101       0       11
      290000 ps       0       1101       1       11
      290000 ps       0       1101       1       00
      300000 ps       0       1101       0       00
      305000 ps       0       0000       0       00
      310000 ps       0       0000       1       00
      310000 ps       0       0000       1       10
      320000 ps       0       0000       0       10
      325000 ps       0       1111       0       10
      330000 ps       0       1111       1       10
      330000 ps       0       1111       1       11
